MAXM86161reg0x0D,MAXM86161reg0x10,MAXM86161reg0x11,MAXM86161reg0x12,MAXM86161reg0x13,MAXM86161reg0x14,MAXM86161reg0x15,MAXM86161reg0x16,MAXM86161reg0x20,MAXM86161reg0x21,MAXM86161reg0x22,MAXM86161reg0x23,MAXM86161reg0x24,MAXM86161reg0x25,MAXM86161reg0x26,MAXM86161reg0x27,MAXM86161reg0x28,MAXM86161reg0x29,
MAXM86161reg0x2A,MAXM86161reg0x2B,MAXM86161reg0xFE,MAXM86161reg0xFF,KX122reg0x18,KX122reg0x1B,0,0,0,0,RTCpreScale,WallClock_B3,WallClock_B2,WallClock_B1,WallClock_B0,UseAcc,WallClock_B5,WallClock_B4,
0x02,0x00,0x28,0x20,0xc0,0x00,0x11,0x42,0x21,0x03,0x00,0x00,0x0a,0x0a,0x00,0x00,0x00,0x00,
0x3f,0x00,0x0a,0x36,0x10,0x04,0x00,0x00,0x00,0x00,0x1f,0xc0,0x3e,0x1c,0x73,0x01,0x01,0x72,
start time,1592363195507
expected tags,1,2,3,
timestamp,sampleNum,tagLEDC1,tagLEDC2,tagLEDC3,LEDC1,LEDC2,LEDC3,ACCX,ACCY,ACCZ,temperature,RTC,sensor,regAddr,val,I2Caddr,
1592363195714.887900,1,0,0,0,17.000000,10323.000000,12877.000000,-84.000000,2.000000,969.000000,,,,,,,
1592363195722.775900,2,0,0,0,22.000000,10313.000000,12880.000000,-86.000000,2.000000,970.000000,,,,,,,
1592363195730.663600,3,0,0,0,39.000000,10321.000000,12877.000000,-91.000000,4.000000,971.000000,,,,,,,
1592363195738.551500,4,0,0,0,18.000000,10305.000000,12878.000000,-93.000000,8.000000,972.000000,,,,,,,
1592363195746.439500,5,0,0,0,0.000000,10310.000000,12884.000000,-91.000000,0.000000,964.000000,,,,,,,
1592363195754.327400,6,0,0,0,5.000000,10328.000000,12893.000000,-94.000000,0.000000,975.000000,,,,,,,
1592363195762.215300,7,0,0,0,0.000000,10311.000000,12892.000000,-94.000000,2.000000,974.000000,,,,,,,
1592363195770.103300,8,0,0,0,21.000000,10320.000000,12894.000000,-94.000000,1.000000,971.000000,,,,,,,
1592363195777.991000,9,0,0,0,8.000000,10311.000000,12889.000000,-91.000000,1.000000,970.000000,,,,,,,
1592363195785.878900,10,0,0,0,9.000000,10320.000000,12894.000000,-88.000000,1.000000,971.000000,,,,,,,
1592363195793.766800,11,0,0,0,25.000000,10327.000000,12903.000000,-87.000000,1.000000,969.000000,,,,,,,
1592363195801.654800,12,0,0,0,11.000000,10336.000000,12909.000000,-85.000000,1.000000,970.000000,,,,,,,
1592363195809.542700,13,0,0,0,0.000000,10336.000000,12905.000000,-89.000000,7.000000,967.000000,,,,,,,
1592363195817.430700,14,0,0,0,14.000000,10320.000000,12912.000000,-87.000000,2.000000,976.000000,,,,,,,
1592363195825.318400,15,0,0,0,6.000000,10331.000000,12905.000000,-87.000000,3.000000,984.000000,,,,,,,
1592363195833.206300,16,0,0,0,18.000000,10348.000000,12932.000000,-86.000000,3.000000,979.000000,,,,,,,
1592363195841.094200,17,0,0,0,26.000000,10354.000000,12915.000000,-85.000000,5.000000,976.000000,,,,,,,
