Index,ECG,PPG_G,PPG_R,PPG_IR,ACCEL_X,ACCEL_Y,ACCEL_Z,GYRO_X,GYRO_Y,GYRO_Z,
148,0.1365667,26552,107546,113235,0.3637695,-0.9389648,0.0874023,-0.1219512,0.9756098,0.0609756,
148,0.1247411,26559,107541,113236,0.3637695,-0.9414063,0.0878906,0.1829268,0.9756098,0.2439024,
148,0.1117711,26536,107537,113245,0.3613281,-0.9423828,0.0937500,0.4878049,0.9146341,0.3658537,
148,0.0999454,26556,107540,113229,0.3579102,-0.9399414,0.0976563,0.7317073,0.7926829,0.4878049,
148,0.0865940,26555,107546,113235,0.3535156,-0.9375000,0.1000977,0.9146341,0.6707317,0.5487805,
148,0.0740054,26541,107546,113237,0.3530273,-0.9355469,0.1015625,1.0365854,0.6097561,0.6097561,
148,0.0633242,26566,107554,113243,0.3491211,-0.9360352,0.1005859,1.1585366,0.5487805,0.6707317,
149,0.0514986,26572,107563,113242,0.3476563,-0.9389648,0.0996094,1.1585366,0.6097561,0.6707317,
149,0.0415804,26569,107561,113254,0.3476563,-0.9384766,0.0966797,1.1585366,0.7317073,0.6097561,
149,0.0331880,26597,107558,113240,0.3535156,-0.9375000,0.0961914,1.1585366,0.7926829,0.4878049,
149,0.0267030,26574,107562,113260,0.3579102,-0.9340820,0.0942383,1.1585366,0.7926829,0.2439024,
149,0.0221253,26567,107568,113247,0.3554688,-0.9360352,0.0947266,1.1585366,0.7317073,0.0000000,
149,0.0175477,26575,107565,113254,0.3525391,-0.9350586,0.0976563,1.1585366,0.6097561,-0.1829268,
149,0.0072480,26583,107570,113248,0.3520508,-0.9311523,0.1025391,1.1585366,0.3658537,-0.3658537,
150,-0.0003815,26594,107557,113253,0.3486328,-0.9301758,0.1079102,1.2804878,0.0609756,-0.4878049,
150,0.0003815,26585,107573,113255,0.3427734,-0.9282227,0.1123047,1.4024390,-0.2439024,-0.5487805,
150,0.0083924,26590,107578,113247,0.3403320,-0.9267578,0.1127930,1.5243902,-0.5487805,-0.6097561,
150,0.0202180,26601,107578,113256,0.3378906,-0.9248047,0.1132813,1.6463415,-0.7926829,-0.5487805,
150,0.0247956,26598,107583,113260,0.3354492,-0.9272461,0.1186523,1.7682927,-0.9756098,-0.5487805,
150,0.0225068,26605,107587,113270,0.3374023,-0.9272461,0.1191406,1.8292683,-1.0975610,-0.4878049,
150,0.0144959,26611,107579,113256,0.3452148,-0.9277344,0.1215820,1.8292683,-1.2804878,-0.6097561,
151,0.0034332,26603,107580,113263,0.3510742,-0.9233398,0.0903320,1.6463415,-1.5853659,-0.8536585,
151,-0.0110627,26613,107584,113256,0.3496094,-0.9291992,0.0957031,1.2804878,-1.9512195,-1.2195122,
151,-0.0267030,26618,107574,113241,0.3603516,-0.9306641,0.0727539,1.0975610,-2.0731707,-1.7073171,
151,-0.0404359,26597,107570,113242,0.3593750,-0.9208984,0.0913086,0.9756098,-2.0731707,-2.3170732,
151,-0.0526430,26623,107560,113244,0.3647461,-0.9165039,0.0952148,0.6707317,-2.0731707,-2.9268293,
151,-0.0644686,26612,107579,113243,0.3583984,-0.9125977,0.1059570,0.2439024,-2.0121951,-3.5975610,
151,-0.0572207,26566,107565,113246,0.3623047,-0.9096680,0.1225586,-0.0609756,-1.8902439,-4.0853659,
152,-0.0282289,26610,107564,113241,0.3764648,-0.9067383,0.1279297,-0.4268293,-1.7073171,-4.7560976,
152,-0.0110627,26639,107567,113235,0.3769531,-0.9067383,0.1235352,-0.6097561,-1.3414634,-5.2439024,
152,-0.0934604,26629,107559,113231,0.3754883,-0.9116211,0.1206055,-0.9146341,-0.6707317,-5.3658537,
152,-0.2799998,26638,107569,113242,0.3715820,-0.9169922,0.1152344,-1.4024390,0.1829268,-5.2439024,
152,-0.2201089,26625,107582,113239,0.3686523,-0.9213867,0.1074219,-2.1341463,1.0975610,-4.8780488,
152,0.4192368,26641,107582,113250,0.3671875,-0.9267578,0.1015625,-3.0487805,2.1341463,-4.2682927,
152,1.2626696,26631,107586,113245,0.3662109,-0.9316406,0.0966797,-3.9634146,3.1707317,-3.5365854,
153,1.5010891,26644,107590,113249,0.3691406,-0.9321289,0.1005859,-4.6341463,4.0243902,-2.8658537,
