Time,Pulse Rate,BO Index,TEMP,PI,SDNN,RMSSD,VLF,LF,HF,TP
2022-04-16 12:34:14,85,97,37.2,0.013,0,0,0,0,0,0
2022-04-16 12:34:16,86,98,37.2,0.015,0,0,0,0,0,0
2022-04-16 12:34:18,97,98,37.2,0.016,0,0,0,0,0,0
2022-04-16 12:34:20,97,97,37.2,0.017,0,0,0,0,0,0
2022-04-16 12:34:22,97,97,37.2,0.018,0,0,0,0,0,0
2022-04-16 12:34:24,99,97,37.2,0.021,0,0,0,0,0,0
2022-04-16 12:34:26,102,97,37.2,0.021,0,0,0,0,0,0
2022-04-16 12:34:28,98,97,37.2,0.025,0,0,0,0,0,0
2022-04-16 12:34:32,95,97,37.2,0.027,0,0,0,0,0,0
2022-04-16 12:34:34,94,97,37.2,0.028,0,0,0,0,0,0
2022-04-16 12:34:36,91,97,37.2,0.029,0,0,0,0,0,0
2022-04-16 12:34:38,89,97,37.2,0.028,0,0,0,0,0,0
2022-04-16 12:34:40,89,97,37.2,0.023,0,0,0,0,0,0
2022-04-16 12:34:42,90,97,37.2,0.021,0,0,0,0,0,0
2022-04-16 12:34:44,92,98,37.2,0.018,0,0,0,0,0,0
2022-04-16 12:34:46,95,98,37.2,0.015,0,0,0,0,0,0
2022-04-16 12:34:50,95,97,37.2,0.015,0,0,0,0,0,0
2022-04-16 12:34:52,94,97,37.2,0.018,0,0,0,0,0,0
2022-04-16 12:34:54,98,97,37.2,0.017,0,0,0,0,0,0
2022-04-16 12:34:56,101,97,37.2,0.019,0,0,0,0,0,0
2022-04-16 12:34:58,102,96,37.2,0.018,0,0,0,0,0,0
2022-04-16 12:35:00,106,97,37.2,0.02,0,0,0,0,0,0
2022-04-16 12:35:02,108,97,37.2,0.017,0,0,0,0,0,0
2022-04-16 12:35:04,109,97,37.2,0.019,0,0,0,0,0,0
2022-04-16 12:35:06,107,97,37.2,0.017,0,0,0,0,0,0
2022-04-16 12:35:10,104,96,37.2,0.017,0,0,0,0,0,0
2022-04-16 12:35:12,101,97,37.2,0.018,0,0,0,0,0,0
2022-04-16 12:35:14,98,97,37.2,0.016,0,0,0,0,0,0
2022-04-16 12:35:16,98,97,37.2,0.016,0,0,0,0,0,0
2022-04-16 12:35:18,98,97,37.2,0.014,0,0,0,0,0,0
2022-04-16 12:35:20,97,98,37.2,0.014,0,0,0,0,0,0
2022-04-16 12:35:22,95,97,37.2,0.015,0,0,0,0,0,0
2022-04-16 12:35:24,95,97,37.2,0.018,0,0,0,0,0,0
2022-04-16 12:35:26,91,97,37.2,0.018,0,0,0,0,0,0
2022-04-16 12:35:28,86,97,37.2,0.023,0,0,0,0,0,0
2022-04-16 12:35:31,84,97,37.2,0.023,0,0,0,0,0,0
2022-04-16 12:35:33,85,97,37.2,0.021,0,0,0,0,0,0
2022-04-16 12:35:35,86,97,37.2,0.019,0,0,0,0,0,0
2022-04-16 12:35:38,90,97,37.2,0.017,0,0,0,0,0,0
2022-04-16 12:35:40,93,98,37.2,0.013,0,0,0,0,0,0
2022-04-16 12:35:42,98,98,37.2,0.013,0,0,0,0,0,0
2022-04-16 12:35:44,99,98,37.2,0.011,0,0,0,0,0,0
2022-04-16 12:35:46,98,98,37.2,0.012,0,0,0,0,0,0
2022-04-16 12:35:48,97,98,37.2,0.012,0,0,0,0,0,0
