Index,ECG,PPG_G,PPG_R,PPG_IR,ACCEL_X,ACCEL_Y,ACCEL_Z,GYRO_X,GYRO_Y,GYRO_Z,
202,-0.0827792,29158,111979,116664,-0.0332031,-0.9946289,0.0000000,-0.0609756,-0.9756098,0.4268293,
202,-0.0797275,29150,111985,116664,-0.0332031,-0.9951172,0.0014648,0.6097561,-1.0365854,0.3658537,
202,-0.0774386,29147,111993,116667,-0.0327148,-1.0014648,0.0024414,1.0975610,-1.0365854,0.2439024,
202,-0.0770572,29159,111974,116678,-0.0327148,-0.9956055,0.0073242,1.2804878,-1.0365854,0.1829268,
202,-0.0808719,29159,112000,116693,-0.0322266,-0.9970703,0.0078125,1.2195122,-1.1585366,0.1829268,
202,-0.0835422,29170,112020,116701,-0.0302734,-0.9931641,0.0063477,0.9756098,-1.2804878,0.2439024,
202,-0.0820163,29173,112043,116715,-0.0307617,-0.9931641,0.0053711,0.6707317,-1.4634146,0.3048780,
203,-0.0751498,29193,112058,116739,-0.0302734,-0.9936523,0.0039063,0.4268293,-1.5243902,0.3658537,
203,-0.0652316,29178,112066,116733,-0.0288086,-0.9882813,0.0024414,0.3048780,-1.4634146,0.4268293,
203,-0.0564577,29138,112083,116739,-0.0253906,-0.9873047,0.0004883,0.3048780,-1.2804878,0.3658537,
203,-0.0473024,29161,112078,116740,-0.0239258,-0.9912109,-0.0048828,0.4268293,-0.9146341,0.2439024,
203,-0.0392915,29166,112083,116742,-0.0268555,-0.9946289,-0.0078125,0.7926829,-0.6707317,0.1829268,
203,-0.0331880,29168,112117,116781,-0.0263672,-0.9921875,-0.0039063,1.5853659,-0.3048780,0.0000000,
203,-0.0263215,29195,112157,116802,-0.0249023,-0.9926758,-0.0039063,2.7439024,-0.1829268,-0.0609756,
204,-0.0198365,29197,112213,116840,-0.0273438,-0.9970703,0.0019531,4.0853659,-0.3048780,-0.1219512,
204,-0.0186921,29211,112261,116877,-0.0283203,-0.9970703,0.0058594,5.3658537,-0.6097561,-0.1219512,
204,-0.0183106,29213,112302,116917,-0.0317383,-0.9941406,0.0097656,6.5243902,-0.9756098,0.0000000,
204,-0.0160218,29196,112335,116957,-0.0327148,-0.9931641,0.0117188,7.0731707,-1.4024390,0.1219512,
204,-0.0045777,29245,112390,116997,-0.0341797,-0.9965820,0.0185547,7.0121951,-1.5853659,0.2439024,
204,0.0129700,29273,112445,117022,-0.0346680,-0.9936523,0.0302734,6.5243902,-1.7073171,0.3048780,
204,0.0236512,29265,112481,117040,-0.0366211,-0.9941406,0.0341797,5.5487805,-1.5243902,0.2439024,
205,0.0236512,29256,112479,117041,-0.0395508,-0.9985352,0.0322266,4.0853659,-1.0975610,0.2439024,
205,0.0164033,29213,112340,116920,-0.0390625,-0.9995117,0.0180664,2.0731707,-0.4878049,0.2439024,
205,0.0061035,29230,112302,116875,-0.0292969,-1.0107422,-0.0317383,-0.4268293,0.2439024,0.0609756,
205,-0.0072480,29227,112275,116866,-0.0268555,-0.9960938,0.0034180,-2.5000000,1.1585366,-0.1829268,
205,-0.0186921,29214,112171,116787,-0.0224609,-0.9956055,-0.0351563,-3.5975610,2.1341463,-0.5487805,
205,-0.0320436,29190,112144,116768,-0.0322266,-1.0043945,-0.0366211,-3.7804878,2.9878049,-0.7926829,
205,-0.0415804,29194,112174,116797,-0.0292969,-0.9990234,-0.0151367,-2.5609756,3.5365854,-0.8536585,
206,-0.0480654,29191,112262,116868,-0.0273438,-0.9980469,0.0161133,0.0000000,3.7195122,-0.9146341,
